Frequency,ChronicIllness,postcode
157,Depression,2262
318,Depression,2263
572,Depression,2264
178,Depression,2265
27,Depression,2267
21,Depression,2278
709,Depression,2280
97,Depression,2281
285,Depression,2282
491,Depression,2283
226,Depression,2284
315,Depression,2285
26,Depression,2286
526,Depression,2287
123,Depression,2289
623,Depression,2290
264,Depression,2291
60,Depression,2292
26,Depression,2293
18,Depression,2294
276,Depression,2295
14,Depression,2296
21,Depression,2297
209,Depression,2298
89,Depression,2299
89,Depression,2300
2,Depression,2301
3,Depression,2302
188,Depression,2303
209,Depression,2304
123,Depression,2305
78,Depression,2306
13,Depression,2307
16,Depression,2311
13,Depression,2312
2,Depression,2313
149,Depression,2315
133,Depression,2316
158,Depression,2317
343,Depression,2318
34,Depression,2319
593,Depression,2320
147,Depression,2321
568,Depression,2322
316,Depression,2323
174,Depression,2324
757,Depression,2325
79,Depression,2326
46,Depression,2327
9,Depression,2328
7,Depression,2329
75,Depression,2330
122,Depression,2333
26,Depression,2334
98,Depression,2335
49,Depression,2336
18,Depression,2337
56,Depression,2338
11,Depression,2339
972,Depression,2340
13,Depression,2341
9,Depression,2342
22,Depression,2343
11,Depression,2344
4,Depression,2345
21,Depression,2346
85,Depression,2347
180,Depression,2350
30,Depression,2352
15,Depression,2353
91,Depression,2354
6,Depression,2355
3,Depression,2356
89,Depression,2357
37,Depression,2358
3,Depression,2359
47,Depression,2360
2,Depression,2361
15,Depression,2365
3,Depression,2369
89,Depression,2370
30,Depression,2371
5,Depression,2372
6,Depression,2379
217,Depression,2380
25,Depression,2381
6,Depression,2382
9,Depression,2386
2,Depression,2387
52,Depression,2388
246,Depression,2390
5,Depression,2395
5,Depression,2396
9,Depression,2397
3,Depression,2398
5,Depression,2399
25,Depression,2400
3,Depression,2402
3,Depression,2403
6,Depression,2404
2,Depression,2405
2,Depression,2406
4,Depression,2409
2,Depression,2415
115,Depression,2420
12,Depression,2421
18,Depression,2422
73,Depression,2423
8,Depression,2425
1,Depression,2426
9,Depression,2427
256,Depression,2428
37,Depression,2429
285,Depression,2430
57,Depression,2431
3,Depression,2439
554,Depression,2440
101,Depression,2441
14,Depression,2443
219,Depression,2444
2,Depression,2445
10,Depression,2446
117,Depression,2447
124,Depression,2448
90,Depression,2449
620,Depression,2450
463,Depression,2452
7,Depression,2453
154,Depression,2454
112,Depression,2455
365,Depression,2456
747,Depression,2460
14,Depression,2461
57,Depression,2462
293,Depression,2463
266,Depression,2464
7,Depression,2465
2,Depression,2466
41,Depression,2469
320,Depression,2470
6,Depression,2471
11,Depression,2472
89,Depression,2473
10,Depression,2474
1,Depression,2475
3,Depression,2476
41,Depression,2477
228,Depression,2478
5,Depression,2479
333,Depression,2480
11,Depression,2481
1,Depression,2482
50,Depression,2483
109,Depression,2484
164,Depression,2485
733,Depression,2486
180,Depression,2487
36,Depression,2488
41,Depression,2489
4,Depression,2490
231,Depression,2500
99,Depression,2502
29,Depression,2505
52,Depression,2506
30,Depression,2508
1,Depression,2513
65,Depression,2515
51,Depression,2516
124,Depression,2517
46,Depression,2518
33,Depression,2519
2,Depression,2520
1,Depression,2524
129,Depression,2525
51,Depression,2526
97,Depression,2527
169,Depression,2528
287,Depression,2529
500,Depression,2530
187,Depression,2533
7,Depression,2534
115,Depression,2535
574,Depression,2536
312,Depression,2537
56,Depression,2538
593,Depression,2539
399,Depression,2540
472,Depression,2541
28,Depression,2545
271,Depression,2546
269,Depression,2548
47,Depression,2549
49,Depression,2550
10,Depression,2551
3,Depression,2555
17,Depression,2556
18,Depression,2557
52,Depression,2558
10,Depression,2559
466,Depression,2560
1,Depression,2563
59,Depression,2564
24,Depression,2565
148,Depression,2566
80,Depression,2567
18,Depression,2568
7,Depression,2569
288,Depression,2570
126,Depression,2571
30,Depression,2572
37,Depression,2573
35,Depression,2574
236,Depression,2575
322,Depression,2576
353,Depression,2577
80,Depression,2578
65,Depression,2579
422,Depression,2580
9,Depression,2581
143,Depression,2582
5,Depression,2583
5,Depression,2584
2,Depression,2585
106,Depression,2586
23,Depression,2587
9,Depression,2588
230,Depression,2590
100,Depression,2594
661,Depression,2620
37,Depression,2621
84,Depression,2622
12,Depression,2623
1,Depression,2624
3,Depression,2625
9,Depression,2626
35,Depression,2627
49,Depression,2628
8,Depression,2629
258,Depression,2630
13,Depression,2631
9,Depression,2632
5,Depression,2633
488,Depression,2640
130,Depression,2641
26,Depression,2642
93,Depression,2643
24,Depression,2644
1,Depression,2645
213,Depression,2646
57,Depression,2647
53,Depression,2648
2,Depression,2649
1858,Depression,2650
40,Depression,2651
100,Depression,2652
10,Depression,2653
12,Depression,2655
19,Depression,2656
4,Depression,2658
4,Depression,2659
2,Depression,2660
207,Depression,2663
32,Depression,2665
234,Depression,2666
10,Depression,2668
9,Depression,2669
5,Depression,2671
2,Depression,2672
1,Depression,2675
615,Depression,2680
27,Depression,2681
2,Depression,2690
176,Depression,2700
77,Depression,2701
4,Depression,2702
3,Depression,2703
1,Depression,2704
26,Depression,2705
10,Depression,2706
6,Depression,2707
72,Depression,2710
79,Depression,2711
52,Depression,2712
104,Depression,2713
119,Depression,2714
1,Depression,2715
4,Depression,2716
4,Depression,2717
17,Depression,2720
2,Depression,2721
8,Depression,2722
15,Depression,2725
1,Depression,2726
44,Depression,2729
8,Depression,2730
261,Depression,2731
5,Depression,2732
6,Depression,2733
2,Depression,2735
1,Depression,2736
1,Depression,2738
4,Depression,2739
4,Depression,2740
279,Depression,2745
442,Depression,2747
21,Depression,2748
230,Depression,2749
654,Depression,2750
4,Depression,2751
22,Depression,2752
324,Depression,2753
60,Depression,2754
1,Depression,2755
606,Depression,2756
22,Depression,2757
76,Depression,2758
78,Depression,2759
273,Depression,2760
114,Depression,2761
37,Depression,2762
166,Depression,2763
1,Depression,2764
156,Depression,2765
224,Depression,2766
182,Depression,2767
109,Depression,2768
18,Depression,2769
643,Depression,2770
4,Depression,2771
62,Depression,2773
193,Depression,2774
12,Depression,2775
62,Depression,2776
232,Depression,2777
42,Depression,2778
156,Depression,2779
71,Depression,2780
116,Depression,2782
38,Depression,2783
13,Depression,2784
126,Depression,2785
36,Depression,2786
89,Depression,2787
424,Depression,2790
8,Depression,2791
4,Depression,2792
7,Depression,2793
52,Depression,2794
724,Depression,2795
13,Depression,2797
56,Depression,2798
155,Depression,2799
783,Depression,2800
2,Depression,2803
164,Depression,2804
15,Depression,2805
42,Depression,2806
3,Depression,2807
5,Depression,2809
9,Depression,2810
1,Depression,2818
49,Depression,2820
117,Depression,2821
11,Depression,2823
76,Depression,2824
4,Depression,2825
1,Depression,2826
23,Depression,2827
4,Depression,2828
137,Depression,2829
1012,Depression,2830
55,Depression,2831
35,Depression,2832
5,Depression,2833
73,Depression,2834
66,Depression,2835
1,Depression,2839
65,Depression,2840
11,Depression,2842
36,Depression,2843
38,Depression,2844
23,Depression,2845
4,Depression,2846
28,Depression,2847
60,Depression,2848
36,Depression,2849
209,Depression,2850
10,Depression,2852
7,Depression,2864
3,Depression,2865
21,Depression,2866
7,Depression,2867
7,Depression,2868
8,Depression,2869
126,Depression,2870
331,Depression,2871
3,Depression,2873
2,Depression,2875
3,Depression,2876
2,Depression,2877
2,Depression,2878
7,Depression,2879
45,Depression,2880
1,Depression,2899
1,Depression,2922
8,Depression,2954
33,Depression,3000
18,Depression,3001
12,Depression,3002
14,Depression,3003
27,Depression,3004
15,Depression,3006
18,Depression,3008
110,Depression,3011
98,Depression,3012
109,Depression,3013
102,Depression,3015
44,Depression,3016
239,Depression,3018
28,Depression,3019
269,Depression,3020
671,Depression,3021
22,Depression,3022
244,Depression,3023
84,Depression,3024
115,Depression,3025
2,Depression,3026
6,Depression,3027
517,Depression,3028
297,Depression,3029
648,Depression,3030
150,Depression,3031
160,Depression,3032
187,Depression,3033
111,Depression,3034
55,Depression,3036
151,Depression,3037
317,Depression,3038
94,Depression,3039
87,Depression,3040
87,Depression,3041
141,Depression,3042
197,Depression,3043
426,Depression,3044
597,Depression,3046
223,Depression,3047
72,Depression,3048
22,Depression,3049
96,Depression,3051
21,Depression,3052
34,Depression,3053
34,Depression,3054
32,Depression,3055
98,Depression,3056
30,Depression,3057
324,Depression,3058
115,Depression,3059
204,Depression,3060
91,Depression,3061
7,Depression,3063
337,Depression,3064
42,Depression,3065
27,Depression,3066
29,Depression,3067
80,Depression,3068
186,Depression,3070
154,Depression,3071
307,Depression,3072
543,Depression,3073
185,Depression,3074
172,Depression,3075
191,Depression,3076
80,Depression,3078
183,Depression,3079
81,Depression,3081
384,Depression,3082
206,Depression,3083
323,Depression,3084
126,Depression,3085
123,Depression,3087
385,Depression,3088
173,Depression,3089
18,Depression,3090
18,Depression,3091
71,Depression,3093
156,Depression,3094
233,Depression,3095
33,Depression,3096
12,Depression,3097
58,Depression,3099
177,Depression,3101
77,Depression,3102
105,Depression,3103
184,Depression,3104
154,Depression,3105
118,Depression,3106
145,Depression,3107
203,Depression,3108
311,Depression,3109
1,Depression,3110
193,Depression,3111
50,Depression,3113
5,Depression,3114
21,Depression,3115
24,Depression,3116
1,Depression,3120
154,Depression,3121
314,Depression,3122
84,Depression,3123
198,Depression,3124
114,Depression,3125
80,Depression,3126
116,Depression,3127
139,Depression,3128
55,Depression,3129
422,Depression,3130
311,Depression,3131
115,Depression,3132
166,Depression,3133
143,Depression,3134
199,Depression,3135
345,Depression,3136
238,Depression,3137
80,Depression,3138
105,Depression,3139
113,Depression,3140
87,Depression,3141
35,Depression,3142
55,Depression,3143
65,Depression,3144
98,Depression,3145
229,Depression,3146
239,Depression,3147
71,Depression,3148
326,Depression,3149
586,Depression,3150
41,Depression,3151
258,Depression,3152
133,Depression,3153
29,Depression,3154
284,Depression,3155
504,Depression,3156
1,Depression,3157
14,Depression,3158
20,Depression,3159
53,Depression,3160
114,Depression,3161
150,Depression,3162
327,Depression,3163
1,Depression,3164
324,Depression,3165
169,Depression,3166
91,Depression,3167
161,Depression,3168
114,Depression,3169
254,Depression,3170
146,Depression,3171
211,Depression,3172
144,Depression,3173
374,Depression,3174
500,Depression,3175
72,Depression,3177
552,Depression,3178
28,Depression,3179
66,Depression,3180
105,Depression,3181
48,Depression,3182
80,Depression,3183
42,Depression,3184
64,Depression,3185
139,Depression,3186
165,Depression,3187
101,Depression,3188
77,Depression,3189
94,Depression,3190
30,Depression,3191
190,Depression,3192
89,Depression,3193
225,Depression,3194
173,Depression,3195
291,Depression,3196
48,Depression,3197
160,Depression,3198
354,Depression,3199
44,Depression,3200
143,Depression,3201
6,Depression,3202
154,Depression,3204
52,Depression,3205
49,Depression,3206
107,Depression,3207
11,Depression,3211
241,Depression,3212
1,Depression,3213
437,Depression,3214
183,Depression,3215
537,Depression,3216
7,Depression,3217
24,Depression,3218
242,Depression,3219
42,Depression,3220
52,Depression,3221
215,Depression,3222
252,Depression,3223
19,Depression,3224
8,Depression,3225
126,Depression,3226
16,Depression,3227
181,Depression,3228
1,Depression,3230
1,Depression,3231
2,Depression,3232
30,Depression,3233
4,Depression,3235
4,Depression,3236
2,Depression,3237
3,Depression,3238
6,Depression,3239
13,Depression,3240
2,Depression,3241
28,Depression,3242
6,Depression,3243
50,Depression,3249
243,Depression,3250
13,Depression,3251
3,Depression,3254
140,Depression,3260
112,Depression,3264
33,Depression,3265
109,Depression,3266
1,Depression,3267
6,Depression,3268
3,Depression,3269
1,Depression,3270
4,Depression,3271
69,Depression,3272
2,Depression,3273
4,Depression,3274
6,Depression,3275
7,Depression,3276
19,Depression,3277
8,Depression,3278
6,Depression,3279
889,Depression,3280
15,Depression,3281
18,Depression,3282
7,Depression,3283
126,Depression,3284
31,Depression,3285
17,Depression,3286
7,Depression,3287
21,Depression,3289
3,Depression,3292
5,Depression,3293
25,Depression,3294
375,Depression,3300
13,Depression,3301
11,Depression,3302
5,Depression,3303
120,Depression,3304
439,Depression,3305
5,Depression,3309
12,Depression,3310
70,Depression,3311
18,Depression,3312
11,Depression,3314
2,Depression,3315
46,Depression,3318
3,Depression,3319
5,Depression,3321
2,Depression,3322
1,Depression,3323
13,Depression,3324
8,Depression,3325
6,Depression,3328
7,Depression,3330
6,Depression,3331
2,Depression,3332
5,Depression,3333
9,Depression,3334
22,Depression,3335
451,Depression,3337
231,Depression,3338
354,Depression,3340
20,Depression,3341
88,Depression,3342
16,Depression,3345
1111,Depression,3350
140,Depression,3351
249,Depression,3352
1,Depression,3353
416,Depression,3355
499,Depression,3356
93,Depression,3357
28,Depression,3360
13,Depression,3361
14,Depression,3363
12,Depression,3364
6,Depression,3370
43,Depression,3371
78,Depression,3373
3,Depression,3374
7,Depression,3375
224,Depression,3377
1,Depression,3378
12,Depression,3379
341,Depression,3380
15,Depression,3381
12,Depression,3384
9,Depression,3385
6,Depression,3387
3,Depression,3388
6,Depression,3390
27,Depression,3396
378,Depression,3400
44,Depression,3401
5,Depression,3402
1,Depression,3407
16,Depression,3409
14,Depression,3412
1,Depression,3413
67,Depression,3414
1,Depression,3415
81,Depression,3418
1,Depression,3419
1,Depression,3424
2,Depression,3427
4,Depression,3428
24,Depression,3429
3,Depression,3431
1,Depression,3432
5,Depression,3433
90,Depression,3434
7,Depression,3435
49,Depression,3437
9,Depression,3438
12,Depression,3440
7,Depression,3441
23,Depression,3442
161,Depression,3444
14,Depression,3446
6,Depression,3447
17,Depression,3448
136,Depression,3450
59,Depression,3451
31,Depression,3453
44,Depression,3458
7,Depression,3460
16,Depression,3461
16,Depression,3462
10,Depression,3463
44,Depression,3464
585,Depression,3465
40,Depression,3467
5,Depression,3468
10,Depression,3469
22,Depression,3472
1,Depression,3474
11,Depression,3475
4,Depression,3477
7,Depression,3478
91,Depression,3480
5,Depression,3482
29,Depression,3483
5,Depression,3485
3,Depression,3487
2,Depression,3490
2,Depression,3491
1,Depression,3494
14,Depression,3496
20,Depression,3498
216,Depression,3500
4,Depression,3501
70,Depression,3505
13,Depression,3515
6,Depression,3516
15,Depression,3517
2,Depression,3518
3,Depression,3521
4,Depression,3522
189,Depression,3523
1,Depression,3525
3,Depression,3530
5,Depression,3539
3,Depression,3540
2,Depression,3542
3,Depression,3544
4,Depression,3546
1,Depression,3549
747,Depression,3550
205,Depression,3551
346,Depression,3555
402,Depression,3556
8,Depression,3557
31,Depression,3558
8,Depression,3559
52,Depression,3561
8,Depression,3562
13,Depression,3563
611,Depression,3564
19,Depression,3566
13,Depression,3567
132,Depression,3568
9,Depression,3570
4,Depression,3571
4,Depression,3572
3,Depression,3573
19,Depression,3575
10,Depression,3579
2,Depression,3580
1,Depression,3581
1,Depression,3583
6,Depression,3584
147,Depression,3585
5,Depression,3586
4,Depression,3588
4,Depression,3589
3,Depression,3590
1,Depression,3591
9,Depression,3594
6,Depression,3595
3,Depression,3597
80,Depression,3608
51,Depression,3610
14,Depression,3612
1,Depression,3613
6,Depression,3614
190,Depression,3616
10,Depression,3618
21,Depression,3619
104,Depression,3620
12,Depression,3621
7,Depression,3622
25,Depression,3623
6,Depression,3624
81,Depression,3629
1095,Depression,3630
139,Depression,3631
1,Depression,3632
17,Depression,3633
35,Depression,3634
8,Depression,3635
91,Depression,3636
8,Depression,3637
97,Depression,3638
25,Depression,3639
10,Depression,3640
29,Depression,3641
25,Depression,3643
264,Depression,3644
15,Depression,3646
9,Depression,3649
1,Depression,3650
179,Depression,3658
8,Depression,3659
81,Depression,3660
3,Depression,3663
7,Depression,3664
1,Depression,3665
17,Depression,3666
26,Depression,3669
5,Depression,3670
13,Depression,3671
106,Depression,3672
15,Depression,3673
29,Depression,3675
27,Depression,3676
506,Depression,3677
87,Depression,3678
5,Depression,3682
3,Depression,3683
11,Depression,3685
24,Depression,3687
13,Depression,3688
33,Depression,3689
804,Depression,3690
98,Depression,3691
1,Depression,3692
2,Depression,3694
4,Depression,3695
16,Depression,3697
19,Depression,3698
33,Depression,3699
18,Depression,3700
15,Depression,3701
1,Depression,3704
4,Depression,3705
6,Depression,3707
5,Depression,3711
13,Depression,3712
17,Depression,3713
116,Depression,3714
12,Depression,3715
101,Depression,3717
4,Depression,3718
7,Depression,3719
20,Depression,3720
182,Depression,3722
59,Depression,3723
2,Depression,3724
2,Depression,3725
7,Depression,3726
4,Depression,3727
5,Depression,3728
71,Depression,3730
15,Depression,3732
3,Depression,3733
11,Depression,3735
5,Depression,3736
116,Depression,3737
4,Depression,3738
2,Depression,3739
2,Depression,3741
10,Depression,3746
151,Depression,3747
14,Depression,3749
8,Depression,3750
2,Depression,3751
174,Depression,3752
3,Depression,3753
63,Depression,3754
2,Depression,3755
69,Depression,3756
180,Depression,3757
25,Depression,3758
10,Depression,3759
2,Depression,3760
9,Depression,3761
53,Depression,3763
79,Depression,3764
113,Depression,3765
13,Depression,3766
4,Depression,3767
1,Depression,3768
19,Depression,3770
51,Depression,3775
231,Depression,3777
2,Depression,3778
2,Depression,3779
1,Depression,3780
33,Depression,3781
121,Depression,3782
9,Depression,3783
3,Depression,3786
4,Depression,3787
3,Depression,3788
19,Depression,3791
11,Depression,3792
62,Depression,3793
10,Depression,3795
119,Depression,3796
2,Depression,3797
36,Depression,3799
109,Depression,3802
46,Depression,3803
38,Depression,3804
92,Depression,3805
378,Depression,3806
97,Depression,3807
9,Depression,3808
18,Depression,3809
270,Depression,3810
19,Depression,3812
5,Depression,3813
3,Depression,3814
15,Depression,3815
9,Depression,3816
139,Depression,3818
20,Depression,3820
1,Depression,3821
2,Depression,3822
44,Depression,3823
88,Depression,3824
105,Depression,3825
1,Depression,3834
8,Depression,3835
273,Depression,3840
33,Depression,3842
385,Depression,3844
44,Depression,3847
143,Depression,3850
47,Depression,3851
11,Depression,3854
8,Depression,3856
2,Depression,3857
9,Depression,3858
13,Depression,3860
47,Depression,3862
5,Depression,3869
7,Depression,3870
5,Depression,3871
4,Depression,3873
6,Depression,3874
32,Depression,3875
15,Depression,3878
121,Depression,3880
3,Depression,3885
1,Depression,3886
14,Depression,3887
4,Depression,3888
3,Depression,3890
3,Depression,3891
41,Depression,3892
2,Depression,3893
5,Depression,3903
6,Depression,3904
261,Depression,3909
83,Depression,3910
36,Depression,3911
21,Depression,3912
4,Depression,3913
166,Depression,3915
7,Depression,3916
49,Depression,3918
75,Depression,3919
1,Depression,3921
19,Depression,3922
1,Depression,3923
6,Depression,3925
70,Depression,3926
23,Depression,3927
3,Depression,3928
167,Depression,3930
204,Depression,3931
1,Depression,3933
118,Depression,3934
173,Depression,3936
5,Depression,3937
31,Depression,3938
257,Depression,3939
40,Depression,3940
159,Depression,3941
66,Depression,3942
53,Depression,3943
4,Depression,3944
23,Depression,3945
13,Depression,3946
157,Depression,3950
17,Depression,3951
142,Depression,3953
4,Depression,3954
51,Depression,3956
4,Depression,3957
2,Depression,3958
4,Depression,3959
6,Depression,3960
1,Depression,3962
3,Depression,3966
1,Depression,3967
61,Depression,3971
25,Depression,3975
14,Depression,3976
364,Depression,3977
15,Depression,3978
9,Depression,3979
14,Depression,3980
53,Depression,3981
89,Depression,3984
12,Depression,3987
7,Depression,3988
3,Depression,3990
8,Depression,3991
13,Depression,3992
377,Depression,3995
134,Depression,3996
63,Depression,4000
3,Depression,4004
201,Depression,4005
66,Depression,4006
112,Depression,4007
3,Depression,4008
17,Depression,4010
162,Depression,4011
239,Depression,4012
64,Depression,4013
65,Depression,4014
1,Depression,4016
458,Depression,4017
107,Depression,4018
176,Depression,4019
291,Depression,4020
157,Depression,4021
79,Depression,4022
1,Depression,4025
1,Depression,4029
65,Depression,4030
84,Depression,4031
202,Depression,4032
440,Depression,4034
140,Depression,4035
69,Depression,4036
76,Depression,4037
131,Depression,4051
190,Depression,4053
43,Depression,4054
102,Depression,4055
78,Depression,4059
97,Depression,4060
172,Depression,4061
93,Depression,4064
55,Depression,4065
52,Depression,4066
41,Depression,4067
192,Depression,4068
334,Depression,4069
40,Depression,4070
1,Depression,4071
52,Depression,4073
64,Depression,4074
191,Depression,4075
17,Depression,4076
119,Depression,4077
325,Depression,4078
152,Depression,4101
30,Depression,4102
53,Depression,4103
11,Depression,4104
37,Depression,4105
8,Depression,4106
12,Depression,4107
24,Depression,4108
112,Depression,4109
35,Depression,4110
3,Depression,4111
30,Depression,4112
108,Depression,4113
312,Depression,4114
19,Depression,4115
38,Depression,4116
7,Depression,4117
279,Depression,4118
87,Depression,4119
17,Depression,4120
180,Depression,4121
389,Depression,4122
113,Depression,4123
235,Depression,4124
48,Depression,4125
296,Depression,4127
135,Depression,4128
46,Depression,4129
41,Depression,4130
158,Depression,4131
186,Depression,4132
142,Depression,4133
2,Depression,4144
29,Depression,4151
279,Depression,4152
21,Depression,4153
65,Depression,4154
9,Depression,4155
23,Depression,4156
265,Depression,4157
12,Depression,4158
99,Depression,4159
159,Depression,4160
209,Depression,4161
271,Depression,4163
113,Depression,4164
314,Depression,4165
33,Depression,4169
68,Depression,4170
69,Depression,4171
14,Depression,4172
30,Depression,4173
12,Depression,4174
282,Depression,4178
190,Depression,4179
7,Depression,4183
55,Depression,4184
1,Depression,4185
67,Depression,4205
386,Depression,4207
134,Depression,4208
178,Depression,4209
177,Depression,4210
384,Depression,4211
116,Depression,4212
119,Depression,4213
238,Depression,4214
280,Depression,4215
244,Depression,4216
141,Depression,4217
111,Depression,4218
4,Depression,4219
128,Depression,4220
228,Depression,4221
145,Depression,4223
31,Depression,4224
25,Depression,4225
172,Depression,4226
50,Depression,4227
34,Depression,4228
1,Depression,4230
1,Depression,4251
1,Depression,4260
49,Depression,4270
43,Depression,4271
83,Depression,4272
10,Depression,4275
52,Depression,4280
200,Depression,4285
6,Depression,4287
325,Depression,4300
94,Depression,4301
20,Depression,4303
85,Depression,4304
755,Depression,4305
296,Depression,4306
16,Depression,4307
19,Depression,4309
21,Depression,4310
43,Depression,4311
7,Depression,4312
11,Depression,4313
1,Depression,4314
29,Depression,4340
164,Depression,4341
40,Depression,4342
96,Depression,4343
29,Depression,4344
10,Depression,4346
6,Depression,4347
1972,Depression,4350
139,Depression,4352
3,Depression,4353
1,Depression,4354
4,Depression,4355
13,Depression,4356
90,Depression,4357
17,Depression,4358
12,Depression,4359
20,Depression,4360
83,Depression,4361
15,Depression,4362
1,Depression,4363
8,Depression,4365
346,Depression,4370
9,Depression,4371
2,Depression,4372
9,Depression,4373
1,Depression,4380
1,Depression,4382
8,Depression,4385
44,Depression,4387
8,Depression,4388
3,Depression,4390
28,Depression,4400
33,Depression,4401
4,Depression,4402
3,Depression,4403
6,Depression,4404
221,Depression,4405
6,Depression,4406
3,Depression,4407
8,Depression,4408
1,Depression,4411
2,Depression,4412
90,Depression,4413
38,Depression,4415
2,Depression,4416
3,Depression,4417
1,Depression,4418
24,Depression,4419
14,Depression,4421
1,Depression,4422
1,Depression,4424
3,Depression,4425
1,Depression,4454
8,Depression,4455
5,Depression,4465
1,Depression,4468
39,Depression,4470
4,Depression,4472
1,Depression,4480
4,Depression,4486
69,Depression,4487
1,Depression,4488
1,Depression,4489
2,Depression,4492
1,Depression,4493
1,Depression,4496
3,Depression,4497
358,Depression,4500
85,Depression,4501
157,Depression,4502
367,Depression,4503
38,Depression,4504
138,Depression,4505
220,Depression,4506
23,Depression,4507
427,Depression,4508
71,Depression,4509
457,Depression,4510
43,Depression,4511
24,Depression,4512
121,Depression,4514
72,Depression,4515
30,Depression,4516
17,Depression,4517
116,Depression,4518
38,Depression,4519
22,Depression,4520
24,Depression,4521
93,Depression,4550
760,Depression,4551
32,Depression,4552
80,Depression,4553
13,Depression,4554
143,Depression,4555
356,Depression,4556
73,Depression,4557
223,Depression,4558
71,Depression,4559
360,Depression,4560
108,Depression,4561
112,Depression,4562
130,Depression,4563
15,Depression,4564
223,Depression,4565
49,Depression,4566
54,Depression,4567
87,Depression,4568
41,Depression,4569
371,Depression,4570
17,Depression,4571
20,Depression,4572
82,Depression,4573
25,Depression,4574
133,Depression,4575
1,Depression,4579
244,Depression,4580
20,Depression,4581
3,Depression,4600
2,Depression,4605
118,Depression,4606
17,Depression,4608
156,Depression,4610
3,Depression,4612
29,Depression,4613
9,Depression,4614
77,Depression,4615
2,Depression,4620
11,Depression,4621
3,Depression,4625
4,Depression,4626
1,Depression,4627
9,Depression,4630
222,Depression,4650
1,Depression,4653
876,Depression,4655
25,Depression,4659
200,Depression,4660
6,Depression,4662
1429,Depression,4670
52,Depression,4671
8,Depression,4673
25,Depression,4674
1,Depression,4675
2,Depression,4676
1,Depression,4677
16,Depression,4678
304,Depression,4680
4,Depression,4695
3,Depression,4697
4,Depression,4699
391,Depression,4700
667,Depression,4701
224,Depression,4702
45,Depression,4703
1,Depression,4704
2,Depression,4705
4,Depression,4709
42,Depression,4710
11,Depression,4711
4,Depression,4712
103,Depression,4714
52,Depression,4715
2,Depression,4716
31,Depression,4717
1,Depression,4718
1,Depression,4719
9,Depression,4720
4,Depression,4721
14,Depression,4722
1,Depression,4727
3,Depression,4730
2,Depression,4733
25,Depression,4735
15,Depression,4737
3,Depression,4738
2,Depression,4739
775,Depression,4740
32,Depression,4741
4,Depression,4742
1,Depression,4743
1,Depression,4744
26,Depression,4745
3,Depression,4746
71,Depression,4750
21,Depression,4751
18,Depression,4753
6,Depression,4754
3,Depression,4756
1,Depression,4789
4,Depression,4798
1,Depression,4799
12,Depression,4800
14,Depression,4802
1,Depression,4804
19,Depression,4805
12,Depression,4806
165,Depression,4807
23,Depression,4808
12,Depression,4809
72,Depression,4810
92,Depression,4811
93,Depression,4812
242,Depression,4814
290,Depression,4815
58,Depression,4816
452,Depression,4817
363,Depression,4818
13,Depression,4819
3,Depression,4820
24,Depression,4821
4,Depression,4822
4,Depression,4824
7,Depression,4825
1,Depression,4830
14,Depression,4849
9,Depression,4850
11,Depression,4852
100,Depression,4854
15,Depression,4855
16,Depression,4856
52,Depression,4858
12,Depression,4859
414,Depression,4860
3,Depression,4861
29,Depression,4865
157,Depression,4868
193,Depression,4869
260,Depression,4870
84,Depression,4871
35,Depression,4872
6,Depression,4873
4,Depression,4874
2,Depression,4875
1,Depression,4876
4,Depression,4877
39,Depression,4878
115,Depression,4879
236,Depression,4880
8,Depression,4881
25,Depression,4882
63,Depression,4883
36,Depression,4884
95,Depression,4885
11,Depression,4886
3,Depression,4887
2,Depression,4888
1,Depression,4890
2,Depression,4891
2,Depression,4895
66,Depression,5000
3,Depression,5001
32,Depression,5006
33,Depression,5007
41,Depression,5008
31,Depression,5009
19,Depression,5010
53,Depression,5011
19,Depression,5012
66,Depression,5013
115,Depression,5014
75,Depression,5015
99,Depression,5016
41,Depression,5017
40,Depression,5018
140,Depression,5019
15,Depression,5020
65,Depression,5021
167,Depression,5022
171,Depression,5023
127,Depression,5024
70,Depression,5025
21,Depression,5031
87,Depression,5032
49,Depression,5033
114,Depression,5034
60,Depression,5035
1,Depression,5036
146,Depression,5037
196,Depression,5038
204,Depression,5039
24,Depression,5040
205,Depression,5041
111,Depression,5042
294,Depression,5043
77,Depression,5044
155,Depression,5045
65,Depression,5046
38,Depression,5047
82,Depression,5048
61,Depression,5049
63,Depression,5050
143,Depression,5051
65,Depression,5052
1,Depression,5055
1,Depression,5056
74,Depression,5061
210,Depression,5062
167,Depression,5063
129,Depression,5064
61,Depression,5065
89,Depression,5066
92,Depression,5067
100,Depression,5068
94,Depression,5069
194,Depression,5070
1,Depression,5071
117,Depression,5072
89,Depression,5073
129,Depression,5074
60,Depression,5075
27,Depression,5076
39,Depression,5081
79,Depression,5082
43,Depression,5083
62,Depression,5084
164,Depression,5085
129,Depression,5086
73,Depression,5087
25,Depression,5088
28,Depression,5089
69,Depression,5090
16,Depression,5091
181,Depression,5092
87,Depression,5093
10,Depression,5094
58,Depression,5095
122,Depression,5096
108,Depression,5097
135,Depression,5098
1,Depression,5100
2,Depression,5106
238,Depression,5107
741,Depression,5108
212,Depression,5109
116,Depression,5110
278,Depression,5112
190,Depression,5113
